step,score
1,0.53953904
2,0.5336328
3,0.51360935
4,0.59967184
5,0.5815313
6,0.5975703
7,0.5812969
8,0.56947654
9,0.5900547
10,0.56567186
11,0.63197654
12,0.6070547
13,0.6256875
14,0.60049224
15,0.6298984
16,0.6002047
17,0.6627422
18,0.6693516
19,0.64791405
20,0.61495316
21,0.6342813
22,0.63938284
23,0.66827345
24,0.6549219
25,0.6711484
26,0.6084922
27,0.634539
28,0.62582034
29,0.6521969
30,0.69095314
31,0.6262109
32,0.644746
33,0.6860547
34,0.6495547
35,0.64186716
36,0.6365156
37,0.6117735
38,0.6266094
39,0.66532815
40,0.6721328
41,0.6579765
42,0.66419697
43,0.67238575
44,0.62953126
45,0.6911023
46,0.7013594
47,0.70203125
48,0.69297653
49,0.6680703
50,0.69484246
51,0.71391404
52,0.6531563
53,0.70022655
54,0.6938437
55,0.65194446
56,0.71731204
57,0.674208
58,0.69353175
59,0.71426564
60,0.6965794
61,0.72400784
62,0.7056094
63,0.7220937
64,0.7091967
65,0.67107034
66,0.70366144
67,0.7002204
68,0.73007256
69,0.6848828
70,0.6830703
71,0.66694486
72,0.6719291
73,0.68567187
74,0.6950708
75,0.7234172
76,0.72008663
77,0.7399453
78,0.70664567
79,0.75061595
80,0.7395313
81,0.71543646
82,0.76815194
83,0.72318757
84,0.69416803
85,0.74259377
86,0.73434144
87,0.72182405
88,0.7349365
89,0.75270075
90,0.73516804
91,0.7247805
92,0.74477607
93,0.7538334
94,0.7364603
95,0.7617667
96,0.704536
97,0.72302383
98,0.74537796
99,0.75726885
100,0.77603227
101,0.7780992
102,0.7693644
103,0.7752308
104,0.8163249
105,0.788661
106,0.75357723
107,0.73864514
108,0.75578046
109,0.77887297
110,0.7839603
111,0.757
112,0.751254
113,0.76566935
114,0.8132
115,0.77777684
116,0.79326445
117,0.7832787
118,0.825811
119,0.751559
120,0.73486507
121,0.771304
122,0.7567459
123,0.77020633
124,0.7793141
125,0.7694287
126,0.77455556
127,0.78090906
128,0.7781452
129,0.7966341
130,0.78334135
131,0.7625235
132,0.76897657
133,0.7375747
134,0.7420953
135,0.76236725
136,0.7570938
137,0.7437656
138,0.7427638
139,0.76045674
140,0.7525118
141,0.7424297
142,0.78678584
143,0.798373
144,0.7559134
145,0.7451574
146,0.7730394
147,0.73497623
148,0.8131984
149,0.8113071
150,0.79614407
151,0.815104
152,0.824384
153,0.784693
154,0.8033203
155,0.7959919
156,0.82931453
157,0.8212114
158,0.7983334
159,0.839325
160,0.8323999
161,0.84834373
162,0.82230836
163,0.82215697
164,0.8204194
165,0.80587196
166,0.81443334
167,0.85507315
168,0.8251322
169,0.77497655
170,0.7660479
171,0.8071803
172,0.77806556
173,0.7471871
174,0.7455126
175,0.8023622
176,0.77914757
177,0.7574918
178,0.7579596
179,0.78672224
180,0.7992976
181,0.7754286
182,0.7671439
183,0.7770325
184,0.78022313
185,0.8015726
186,0.7818536
187,0.76251614
188,0.82508874
189,0.79485714
190,0.81367993
191,0.80521876
192,0.81202364
193,0.78424805
194,0.80656254
195,0.7881667
196,0.8069687
197,0.80121875
198,0.83303964
199,0.816873
200,0.82607317
201,0.831584
202,0.8575917
203,0.8562063
204,0.8377805
205,0.86700004
206,0.8624094
207,0.8232205
208,0.86411387
209,0.8178976
210,0.8456148
211,0.84030646
212,0.8443697
213,0.8248016
214,0.8261818
215,0.8262666
216,0.79525405
217,0.824408
218,0.845104
219,0.87468296
220,0.8195714
221,0.8520873
222,0.80788094
223,0.81953967
224,0.8442904
225,0.847129
226,0.83644
227,0.813775
228,0.7950827
229,0.8561533
230,0.8607236
231,0.851776
232,0.8380166
233,0.84408337
234,0.85485584
235,0.8568487
236,0.8704424
237,0.8548167
